feature_id,beta_base,beta_chat,delta,ratio_chat_over_base,count_active_base,count_active_chat
4577,-2.796875,3.53125,6.328125,3531250200.0,1240,1240
67954,3.625,9.75,6.125,2.689655,648,648
99824,1.0390625,7.125,6.0859375,6.857143,290,290
109224,-0.49414062,5.34375,5.8378906,5343750000.0,117,117
112664,-5.1875,0.22167969,5.4091797,221679700.0,2112,2112
112000,-4.8125,0.50390625,5.3164062,503906270.0,296,296
90884,0.5546875,5.6875,5.1328125,10.253521,130,130
53876,0.13769531,5.25,5.1123047,38.12766,616,616
25174,2.3125,7.25,4.9375,3.1351352,624,624
10438,1.1328125,6.0,4.8671875,5.2965517,648,648
101202,1.265625,6.0625,4.796875,4.7901235,93,93
11945,-9.8125,-5.03125,4.78125,-5031250000.0,4224,4224
119917,-6.71875,-1.953125,4.765625,-1953125000.0,4512,4512
18649,-3.125,1.6328125,4.7578125,1632812500.0,912,912
74187,-0.30273438,4.4375,4.7402344,4437500000.0,237,237
64330,-0.984375,3.71875,4.703125,3718750200.0,264,264
66407,2.140625,6.78125,4.640625,3.1678832,63,63
62563,-2.90625,1.7265625,4.6328125,1726562600.0,1680,1680
123129,-8.125,-3.5,4.625,-3500000000.0,2576,2576
40864,-2.78125,1.8359375,4.6171875,1835937500.0,2208,2208
101383,-5.84375,-1.2265625,4.6171875,-1226562600.0,912,912
90465,-1.484375,3.125,4.609375,3125000200.0,312,312
125113,-5.0625,-0.48828125,4.5742188,-488281250.0,1440,1440
50528,-5.03125,-0.46484375,4.5664062,-464843780.0,648,648
112031,0.35742188,4.90625,4.548828,13.726776,664,664
67579,2.609375,7.15625,4.546875,2.742515,624,624
67200,2.390625,6.90625,4.515625,2.8888888,624,624
60477,-2.109375,2.375,4.484375,2375000000.0,200,200
91470,1.421875,5.875,4.453125,4.1318684,1264,1264
31898,0.053466797,4.46875,4.415283,83.57991,1440,1440
7478,0.8046875,5.21875,4.4140625,6.485437,636,636
88108,0.55859375,4.96875,4.4101562,8.895105,314,314
3736,-3.3125,1.0703125,4.3828125,1070312500.0,940,940
118015,1.1015625,5.46875,4.3671875,4.964539,252,252
43948,-4.96875,-0.6171875,4.3515625,-617187500.0,960,960
113890,-5.75,-1.4375,4.3125,-1437500000.0,1840,1840
6962,1.9765625,6.28125,4.3046875,3.1778655,640,640
102401,-1.3828125,2.921875,4.3046875,2921875200.0,516,516
58821,-4.9375,-0.65625,4.28125,-656250050.0,2080,2080
5735,-1.34375,2.890625,4.234375,2890625000.0,300,300
58770,-4.3125,-0.10595703,4.206543,-105957030.0,1552,1552
104924,-6.3125,-2.109375,4.203125,-2109375100.0,7136,7136
36841,2.078125,6.21875,4.140625,2.9924812,63,63
89524,1.859375,6.0,4.140625,3.2268908,288,288
28122,0.5625,4.6875,4.125,8.333333,153,153
103276,-6.1875,-2.0625,4.125,-2062500100.0,3376,3376
95503,0.625,4.75,4.125,7.6,169,169
84282,-4.5625,-0.45898438,4.1035156,-458984400.0,1968,1968
30366,0.05810547,4.15625,4.0981445,71.52941,680,680
45954,1.140625,5.21875,4.078125,4.5753427,524,524
11572,1.203125,5.28125,4.078125,4.3896103,492,492
104949,-4.15625,-0.0859375,4.0703125,-85937500.0,432,432
129434,0.96875,5.03125,4.0625,5.193548,103,103
81022,-3.71875,0.33203125,4.0507812,332031260.0,1152,1152
79688,-3.046875,0.99609375,4.0429688,996093760.0,404,404
18761,-6.96875,-2.9375,4.03125,-2937500200.0,2496,2496
116896,0.80078125,4.8125,4.0117188,6.009756,342,342
92434,-4.59375,-0.58203125,4.0117188,-582031300.0,532,532
4404,-0.81640625,3.1875,4.0039062,3187500000.0,680,680
44759,0.78125,4.78125,4.0,6.12,632,632
37246,3.6875,7.6875,4.0,2.0847456,836,836
11283,1.296875,5.28125,3.984375,4.072289,624,624
75278,-2.1875,1.796875,3.984375,1796875000.0,276,276
47450,-1.0546875,2.921875,3.9765625,2921875200.0,816,816
11841,1.1640625,5.125,3.9609375,4.4026847,616,616
85268,0.11035156,4.0625,3.9521484,36.81416,444,444
103404,1.5625,5.5,3.9375,3.52,209,209
66660,0.88671875,4.8125,3.9257812,5.427313,616,616
39482,-7.8125,-3.890625,3.921875,-3890625000.0,1552,1552
99688,0.671875,4.59375,3.921875,6.837209,616,616
92283,1.359375,5.28125,3.921875,3.8850574,87,87
36426,-2.640625,1.2578125,3.8984375,1257812500.0,1032,1032
14756,-0.25,3.640625,3.890625,3640625200.0,460,460
30725,-5.0,-1.109375,3.890625,-1109375000.0,2240,2240
51884,-2.890625,0.99609375,3.8867188,996093760.0,5760,5760
27707,-1.6796875,2.203125,3.8828125,2203125000.0,2736,2736
104232,-0.07470703,3.796875,3.871582,3796875000.0,1328,1328
55338,0.66796875,4.53125,3.8632812,6.7836256,616,616
66696,-5.34375,-1.484375,3.859375,-1484375000.0,4080,4080
36759,4.0,7.84375,3.84375,1.9609375,616,616
91267,2.15625,6.0,3.84375,2.7826087,624,624
43492,0.54296875,4.375,3.8320312,8.057554,816,816
4214,-6.40625,-2.578125,3.828125,-2578125000.0,2368,2368
2031,0.45703125,4.28125,3.8242188,9.367521,632,632
76445,-2.15625,1.6640625,3.8203125,1664062600.0,2624,2624
16653,-1.890625,1.9140625,3.8046875,1914062600.0,1632,1632
102898,0.6171875,4.40625,3.7890625,7.1392407,624,624
68717,-0.22265625,3.5625,3.7851562,3562500000.0,246,246
3279,-6.4375,-2.65625,3.78125,-2656250000.0,4160,4160
61082,-1.7890625,1.9921875,3.78125,1992187500.0,1200,1200
84687,-4.53125,-0.75,3.78125,-750000000.0,4864,4864
118888,-3.4375,0.34179688,3.7792969,341796900.0,1184,1184
34423,-1.7109375,2.0625,3.7734375,2062500100.0,2800,2800
69657,-0.3125,3.453125,3.765625,3453125000.0,69,69
51780,2.765625,6.53125,3.765625,2.3615818,1040,1040
109650,-0.076171875,3.6875,3.7636719,3687500000.0,1248,1248
14735,-2.484375,1.2734375,3.7578125,1273437600.0,352,352
116505,0.875,4.625,3.75,5.285714,247,247
112498,-1.1171875,2.625,3.7421875,2625000200.0,688,688
39782,-0.22558594,3.515625,3.741211,3515625200.0,1104,1104
